objectid,state,admin1_pcode,dt,dt_pcode,township,admin3_pcode,self_admin,st_rg,p_code_v,floodyears,no_of_flo,storm_surg,year_2008_storm_surge,year_2008,year_2009,year_2010,year_2011,year_2012,year_2013,year_2014,year_2015,year_2016,year_2017,year_2018,year_2019,year_2020,year_2021,flood_prob,flood_count
126,Shan (North),MMR015,Lashio,MMR015D001,Lashio,MMR015001,NA,State,9.3,"2015,2018",2,NA,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.13333333333333333,2
172,Yangon,MMR013,Yangon (West),MMR013D004,Latha,MMR013036,NA,Region,9.3,2008,1,2008,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13333333333333333,2
69,Shan (North),MMR015,Kokang Self-Administered Zone,MMR015S002,Laukkaing,MMR015022,Kokang,State,9.3,2020,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.06666666666666667,1
274,Tanintharyi,MMR006,Dawei,MMR006D001,Launglon,MMR006002,NA,Region,9.3,"2018,2019",2,NA,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.13333333333333333,2
159,Shan (South),MMR014,Taunggyi,MMR014D001,Lawksawk,MMR014008,NA,State,9.3,2015,1,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.06666666666666667,1
77,Sagaing,MMR005,Naga Self-Administered Zone,MMR005S001,Lay Shi,MMR005035,Naga,Region,9.3,"2015,2017",2,NA,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0.13333333333333333,2
183,Ayeyarwady,MMR017,Hinthada,MMR017D002,Lemyethna,MMR017010,NA,Region,9.3,"2011,2015,2021",3,NA,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0.2,3
262,Bago (West),MMR008,Thayarwady,MMR008D002,Letpadan,MMR008008,NA,Region,9.3,"2015,2016,2021",3,NA,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0.2,3
103,Nay Pyi Taw,MMR018,Det Khi Na,MMR018D002,Lewe,MMR018007,NA,Union Territory,9.3,"2017,2018,2020",3,NA,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0.2,3
150,Kayah,MMR002,Loikaw,MMR002D001,Loikaw,MMR002001,NA,State,9.3,2011,1,NA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.06666666666666667,1
72,Shan (North),MMR015,Mongmit,MMR015D008,Mabein,MMR015018,NA,State,9.3,2015,1,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.06666666666666667,1
121,Mandalay,MMR010,Pyinoolwin,MMR010D002,Madaya,MMR010009,NA,Region,9.3,"2015,2016,2021",3,NA,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0.2,3
152,Magway,MMR009,Magway,MMR009D001,Magway,MMR009001,NA,Region,9.3,"2015,2016,2017,2018,2019,2020,2021",7,NA,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0.4666666666666667,7
130,Kachin,MMR001,Bhamo,MMR001D003,Mansi,MMR001013,NA,State,9.3,2015,1,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.06666666666666667,1
225,Shan (North),MMR015,Pa Laung Self-Administered Zone,MMR015S001,Manton,MMR015019,Pa Laung,State,9.3,2015,1,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.06666666666666667,1
161,Shan (North),MMR015,Matman,MMR015D007,Matman,MMR015024,Wa,State,9.3,2015,1,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.06666666666666667,1
215,Chin,MMR004,Matupi,MMR004D004,Matupi,MMR004007,NA,State,9.3,2015,1,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.06666666666666667,1
178,Ayeyarwady,MMR017,Maubin,MMR017D005,Maubin,MMR017019,NA,Region,9.3,"2015,2016,2019,2021",4,NA,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0.26666666666666666,4
298,Rakhine,MMR012,Maungdaw,MMR012D002,Maungdaw,MMR012009,NA,State,9.3,"2011,2015",2,NA,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.13333333333333333,2
226,Sagaing,MMR005,Mawlaik,MMR005D007,Mawlaik,MMR005031,NA,Region,9.3,"2015,2016,2017,2020",4,NA,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0.26666666666666666,4
308,Mon,MMR011,Mawlamyine,MMR011D001,Mawlamyine,MMR011001,NA,State,9.3,"2013,2015,2018,2019,2020,2021",6,NA,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,0.4,6
4,Ayeyarwady,MMR017,Labutta,MMR017D004,Mawlamyinegyun,MMR017018,NA,Region,9.3,2008,1,2008,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13333333333333333,2
139,Yangon,MMR013,Yangon (West),MMR013D004,Mayangone,MMR013042,NA,Region,9.3,"2008,2018",2,2008,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.2,3
