state,admin1_pcode,township,admin3_pcode,total_population_2021proj,food_security_pin_2022,food_security_target_2022,conflict_events,battles,explosions_remote_violence,protests_and_riots,strategic_developments,violence_against_civilians,fatalities,conflict_score,flood_count,flood_prob,vul_score_2019,unsafe_water_2019,poor_housing_2019,no_middle_school_2019,no_electricity_2019,no_id_card_2019,female_illiteracy_2019,child_dependency_2019
Ayeyarwady,MMR017,Nyaungdon,MMR017021,215840.9497225939,65400,8502.024990500482,19,0,7,1,7,4,1,0.01790473818238641,4,0.26666666666666666,0.3905096504139427,0.2366034153418552,0.181222333797105,0.6980722399141703,0.8026339314966,0.2576314317992492,0.11927303510092252,0.4245076655699419
Ayeyarwady,MMR017,Danubyu,MMR017022,179298.96276896607,54328,7063.413880781774,8,0,4,1,2,1,1,0.01036805138724012,4,0.26666666666666666,0.3433149530608869,0.10367343541575984,0.2029915602884914,0.6377574189981637,0.7946478452302761,0.25616816784204066,0.0779073003680972,0.39945632166066886
Ayeyarwady,MMR017,Myaungmya,MMR017014,298547.0237154422,90460,11760.23274045477,23,0,5,3,13,2,0,0.0279205908202109,2,0.13333333333333333,0.42595696176022824,0.2503933133322077,0.2813963509548887,0.6661594354516577,0.7533095551989677,0.3352283612797895,0.11733776303517245,0.4405864644632479
Ayeyarwady,MMR017,Einme,MMR017015,194042.51934686952,58795,7642.66517759526,5,0,0,1,4,0,0,0.00729678884934477,2,0.13333333333333333,0.4414566092905124,0.2353593923487381,0.2557343512187388,0.7391350701713577,0.8296672984142174,0.2941225644653077,0.13700048375288285,0.44709472341018414
Ayeyarwady,MMR017,Wakema,MMR017017,289018.8953086076,87573,11383.545731921822,17,1,2,1,12,1,1,0.01408420229380322,2,0.13333333333333333,0.4666437460672581,0.30516321685446984,0.2594586862042911,0.7249802539058737,0.8120854568032068,0.3238905156390828,0.13026661350351393,0.44003962250333417
Ayeyarwady,MMR017,Pathein,MMR017001,380870.2131022873,115404,15001.522321111168,117,7,18,15,60,17,33,0.14968899066781843,4,0.26666666666666666,0.2791676860621652,0.13699236670542594,0.1372440127553033,0.5287105995812211,0.5642243442452037,0.20688756199528224,0.0804758024184659,0.37239107167579105
Ayeyarwady,MMR017,Kangyidaunt,MMR017002,177936.37342697513,53915,7009.08625177284,24,2,8,0,11,3,5,0.01560597976061413,4,0.26666666666666666,0.3930084650772277,0.19059246025670337,0.16388816732394534,0.7156884671501752,0.8428900656399787,0.2765232449341545,0.1097327064292448,0.46023613465429514
Ayeyarwady,MMR017,Thabaung,MMR017003,154353.48085355895,46769,6080.016389222492,3,0,1,0,0,2,2,0.00316027919076242,4,0.26666666666666666,0.40742150701497776,0.206114250619267,0.1507482543973202,0.7189534440109775,0.848408603055386,0.32175200774619817,0.10964852268918115,0.48445032901917406
Ayeyarwady,MMR017,Ngapudaw,MMR017004,324381.2377842096,98288,12776.623054800892,20,2,3,0,13,2,5,0.01199713571901525,3,0.2,0.3930104623315064,0.28370912605132265,0.17396233571110725,0.6271945314725149,0.8438507479903528,0.3164473353856613,0.099843126215971,0.4735313875128307
Ayeyarwady,MMR017,Kyonpyaw,MMR017005,235655.97785729857,71404,9281.51105795806,26,1,11,0,13,1,6,0.01578311607759153,3,0.2,0.36566927502607344,0.01874326430447297,0.13839928689395256,0.6835944396257263,0.8150625327426968,0.32304616141577724,0.1231551578742208,0.45428391015584224
Ayeyarwady,MMR017,Yegyi,MMR017006,194041.51964815924,58795,7642.704552480257,29,1,11,0,14,3,3,0.01800668529764844,5,0.3333333333333333,0.33672729945028873,0.0998215062427578,0.13802995301160517,0.64767333141542,0.7776920189368948,0.2532403414701214,0.09182509167470763,0.417844353229467
Ayeyarwady,MMR017,Kyaunggon,MMR017007,162985.87921606208,49385,6419.986217708902,12,0,6,0,6,0,0,0.00670414277161999,4,0.26666666666666666,0.3707406859888024,0.05527882557192969,0.13620529886586585,0.6956147989371916,0.8357287682036321,0.29007513029352705,0.11242949151618135,0.4327821621737588
Ayeyarwady,MMR017,Pyapon,MMR017023,314027.3582427568,95150,12370.46237610024,33,0,16,2,10,5,5,0.03251937680494578,4,0.26666666666666666,0.42445497091461265,0.44420456465418307,0.41069337833039377,0.6542413683877099,0.7742410987482773,0.34775008618417047,0.09855681192085285,0.4716985684362131
Ayeyarwady,MMR017,Bogale,MMR017024,322567.78432392236,97738,12706.054975718567,26,3,9,0,12,2,3,0.01601374529021306,3,0.2,0.4576107345939673,0.40957971522053177,0.41314620358725446,0.6725204147169466,0.8359975684482427,0.40433864663806574,0.11044919708582523,0.47054263805550617
Ayeyarwady,MMR017,Kyaiklat,MMR017025,193281.7486284138,58564,7612.631939322028,19,0,7,0,10,2,2,0.01162415069518061,2,0.13333333333333333,0.4271656758476888,0.3548352938786187,0.3796510040917773,0.7462740785830699,0.8318995225757112,0.2311488699374169,0.06294042826201746,0.44566845877008193
Ayeyarwady,MMR017,Dedaye,MMR017026,202864.86046430896,61468,7991.1531492459535,4,0,2,1,1,0,0,0.00733184219055369,3,0.2,0.4284862279261782,0.3877575381765499,0.410317242152091,0.715095870677158,0.8540585654911326,0.29523011107960495,0.07002017754216591,0.4387821282580456
Bago (East),MMR111,Bago,MMR007001,498305.6738756886,117102,17564.725000187475,72,0,20,11,26,15,122,0.11947905205539353,4,0.26666666666666666,0.24504299582973071,0.10519272806220512,0.13889728740062066,0.5615115557115256,0.3671030749802354,0.3102360483572495,0.10526171773755298,0.3721415543884566
Bago (East),MMR111,Thanatpin,MMR007002,147318.53400533367,34620,3462.014450934979,NA,NA,NA,NA,NA,NA,NA,0,3,0.2,0.37117858365036616,0.3899943208206743,0.17321146961054878,0.6699020943658609,0.6735915990165494,0.43062478265909354,0.12370964765032014,0.5083947550798823
Bago (East),MMR111,Kawa,MMR007003,200122.7076537796,47029,7053.674570218364,11,2,5,0,3,1,2,0.00743154977174749,3,0.2,0.3528055382519127,0.33229020707493356,0.1797648654985334,0.7100660784236141,0.7054440100104838,0.3436512663800695,0.08030275373792699,0.4709251248897402
