state,admin1_pcode,township,admin3_pcode,total_population_2021proj,food_security_pin_2022,food_security_target_2022,beneficiaries_2022,partners_2022
Magway,MMR009,Yesagyo,MMR009019,214105.97155217687,44962,4495.77460870406,NA,NA
Magway,MMR009,Myaing,MMR009020,224464.6871322603,47138,4714.241582602502,NA,NA
Magway,MMR009,Pauk,MMR009021,170521.6185816712,35810,3581.04601037606,NA,NA
Magway,MMR009,Seikphyu,MMR009022,102174.37771855226,21457,2146.3381211759756,2243,1
Magway,MMR009,Thayet,MMR009012,103743.24739753985,21786,2179.391875114487,NA,NA
Magway,MMR009,Minhla,MMR009013,145236.76834338708,30500,3050.027865043446,NA,NA
Magway,MMR009,Mindon,MMR009014,59013.55990853376,12393,1238.7153073514055,NA,NA
Magway,MMR009,Kamma,MMR009015,74759.92110993135,15700,1570.0416577967449,NA,NA
Magway,MMR009,Aunglan,MMR009016,233861.003568326,49111,4910.918926403586,NA,NA
Magway,MMR009,Sinbaungwe,MMR009017,117162.15364424168,24604,2459.59484021137,NA,NA
Mandalay,MMR010,Kyaukse,MMR010013,274709.3466889205,32416,3242.429766033835,NA,NA
Mandalay,MMR010,Sintgaing,MMR010014,158619.83773306131,18717,1872.2859584249468,NA,NA
Mandalay,MMR010,Myittha,MMR010015,208374.00606965617,24588,2459.186742558674,NA,NA
Mandalay,MMR010,Tada-U,MMR010016,147647.73934006476,17422,1741.7567097702458,NA,NA
Mandalay,MMR010,Aungmyaythazan,MMR010001,283094.198504246,33405,3341.4885290733523,NA,NA
Mandalay,MMR010,Chanayethazan,MMR010002,210020.72620513552,24782,2477.755454915075,NA,NA
Mandalay,MMR010,Mahaaungmyay,MMR010003,256821.2367566823,30305,3029.509485691361,NA,NA
Mandalay,MMR010,Chanmyathazi,MMR010004,302269.0082577384,35668,3567.225716840961,NA,NA
Mandalay,MMR010,Pyigyitagon,MMR010005,253183.75340437837,29876,2988.4317722113033,87,1
Mandalay,MMR010,Amarapura,MMR010006,253098.54149568605,29866,2987.437274355215,403,1
Mandalay,MMR010,Patheingyi,MMR010007,280906.3827485704,33147,3315.3047115730856,NA,NA
Mandalay,MMR010,Meiktila,MMR010028,329837.1910174255,38921,3891.921147591971,40,1
Mandalay,MMR010,Mahlaing,MMR010029,148510.50991557463,17524,1751.5760855914916,188,1
Mandalay,MMR010,Thazi,MMR010030,215884.3706720267,25474,2546.564500546806,40,1
Mandalay,MMR010,Wundwin,MMR010031,244728.60176438157,28878,2888.202513380018,229,1
Mandalay,MMR010,Myingyan,MMR010017,294083.33927898115,34702,3469.816606201124,46090,2
Mandalay,MMR010,Taungtha,MMR010018,230755.97903655615,27229,2723.079449686694,45,1
Mandalay,MMR010,Natogyi,MMR010019,188614.4295927627,22257,2226.349785760861,NA,NA
Mandalay,MMR010,Ngazun,MMR010021,132326.63815718322,15615,1560.545801939934,NA,NA
Mandalay,MMR010,Kyaukpadaung,MMR010020,278971.0072723958,32919,3292.1421203210016,NA,NA
Mandalay,MMR010,Nyaung-U,MMR010022,255579.2731874916,30158,3016.1645853686555,71547,2
Mandalay,MMR010,Pyinoolwin,MMR010008,272154.0545770091,32114,3210.5822103578134,NA,NA
Mandalay,MMR010,Madaya,MMR010009,274809.470681634,32428,3243.2482649609665,NA,NA
Mandalay,MMR010,Singu,MMR010010,167851.48289101702,19806,1981.3525646218368,NA,NA
Mandalay,MMR010,Mogoke,MMR010011,178038.56657518548,21009,2101.1449244088303,NA,NA
Mandalay,MMR010,Thabeikkyin,MMR010012,174366.9984594045,20575,2058.469525275091,NA,NA
Mandalay,MMR010,Yamethin,MMR010023,274905.3340789128,32439,3244.117062092947,NA,NA
Mandalay,MMR010,Pyawbwe,MMR010024,277250.79186566925,32716,3272.4407153383586,NA,NA
Mon,MMR011,Mawlamyine,MMR011001,278680.7196406106,44000.17344512815,0,2737,2
Mon,MMR011,Kyaikmaraw,MMR011002,188565.08118107164,24000.13167079307,0,2570,1
Mon,MMR011,Chaungzon,MMR011003,117607.3699214522,12000.006948041786,0,7181,1
Mon,MMR011,Thanbyuzayat,MMR011004,164226.21257492076,23000.148475104623,0,NA,NA
Mon,MMR011,Mudon,MMR011005,183679.78085508436,27000.299476739117,0,1793,1
Mon,MMR011,Ye,MMR011006,253869.98090638287,61437,10000,1680,2
Mon,MMR011,Thaton,MMR011007,229296.140236455,55490,10000,4133,1
Mon,MMR011,Paung,MMR011008,210376.07410109657,34003.99336600171,0,5148,2
Mon,MMR011,Kyaikto,MMR011009,177704.36423321342,43004,10000,8284,1
Mon,MMR011,Bilin,MMR011010,174375.27232961828,43029,5000,17592,2
Nay Pyi Taw,MMR018,Za Bu Thi Ri,MMR018002,123719.9083172146,0,0,NA,NA
Nay Pyi Taw,MMR018,Det Khi Na Thi Ri,MMR018004,57490.06829779366,0,0,NA,NA
Nay Pyi Taw,MMR018,Pyinmana,MMR018006,210082.69677906152,0,0,NA,NA
Nay Pyi Taw,MMR018,Lewe,MMR018007,318535.16586296825,0,0,NA,NA
Nay Pyi Taw,MMR018,Zay Yar Thi Ri,MMR018001,124654.0323228326,0,0,NA,NA
Nay Pyi Taw,MMR018,Tatkon,MMR018003,243155.61481010212,0,0,NA,NA
Nay Pyi Taw,MMR018,Poke Ba Thi Ri,MMR018005,130476.06659285932,0,0,NA,NA
Nay Pyi Taw,MMR018,Oke Ta Ra Thi Ri,MMR018008,91418.70664093515,0,0,NA,NA
Rakhine,MMR012,Kyaukpyu,MMR012011,171175.73756895756,47000.071429559386,0,2933,1
Rakhine,MMR012,Munaung,MMR012012,58972.35634496853,14000.034103613378,0,NA,NA
Rakhine,MMR012,Ramree,MMR012013,101338.74477697774,25999.68063348829,0,NA,NA
Rakhine,MMR012,Ann,MMR012014,123930.35613315948,51962,1000,2686,1
Rakhine,MMR012,Maungdaw,MMR012009,42221.457598032895,16889,16889.41697108115,67382,7
Rakhine,MMR012,Buthidaung,MMR012010,57501.30838010879,27218,25001,165848,6
Rakhine,MMR012,Mrauk-U,MMR012003,196308.81462093847,92169,49999,21536,3
Rakhine,MMR012,Kyauktaw,MMR012004,179196.62400930474,80736,40000,18227,4
Rakhine,MMR012,Minbya,MMR012005,175167.54682476277,71821,50000,1823,2
Rakhine,MMR012,Myebon,MMR012006,142024.9707551043,35999.769923067914,0,6124,4
Rakhine,MMR012,Sittwe,MMR012001,153108.0386733227,128717,79999,152765,11
